Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Analyst rating,Price to earnings ratio forward,"Price to earnings ratio forward Non-GAAP, Annual"
BEPC,Brookfield Renewable Corporation,32.56,USD,2.551181102362212,1661260,1.1540761794761232,4912639047.886614,USD,,-29.5942,USD,-301.98041319732147,4.87874015748032,Utilities,Electric utilities,Neutral,772.5158963651895,
MIDD,The Middleby Corporation,108.63,USD,-2.791946308724836,369847,0.852881233047739,4912503582.557315,USD,,-7.2575,USD,-192.28998702917167,0,Producer manufacturing,Industrial machinery,Buy,14.865789143088454,15.750097867219555
IEP,Icahn Enterprises L.P.,6.91,USD,1.31964809384164,667233,0.8048108227227676,4912423043.120234,USD,,-0.7363,USD,40.274172615184945,29.3255131964809,Energy minerals,Oil refining/Marketing,Strong buy,15.02173913043478,
WTM,"White Mountains Insurance Group, Ltd.",2052.48,USD,-2.4250174709649093,27068,1.3400928777241987,4898696881.665575,USD,4.671144788692647,439.3955,USD,445.9081935521544,0.0475400405991947,Finance,Multi-line insurance,Neutral,,15.317014925373135
SEI,"Solaris Energy Infrastructure, Inc.",63.96,USD,16.290909090909093,4994151,2.5775097858801326,4897195600.695272,USD,81.26032270359548,0.7871,USD,33.15851801725598,0.872727272727273,Industrial services,Oilfield services/Equipment,Strong buy,68.2974334003921,60.62432821306096
LFST,"LifeStance Health Group, Inc.",12.8,USD,0.5498821681068365,3073001,0.8815005228045086,4890311543.25216,USD,98.46153846153847,0.13,USD,,0,Health services,Medical/Nursing services,Strong buy,56.55383881272285,79.73438483053329
HRI,Herc Holdings Inc.,146.27,USD,3.7964802724950495,1227424,2.887307808657614,4890017554.189612,USD,99.63217764457463,1.4681,USD,70.17503187666627,1.98694294635254,Finance,Finance/Rental/Leasing,Buy,17.658821950011063,20.423197356475622
CE,Celanese Corporation,44.53,USD,-0.3134094470561911,2522369,1.870064506304391,4887119736.167003,USD,,-10.6783,USD,27.921889449135666,0.268636668905306,Process industries,Chemicals: specialty,Buy,7.63115457843569,7.4342714739507505
ADT,ADT Inc.,7.22,USD,-3.2171581769437028,7664460,1.1993252322712102,4879382580.1689005,USD,9.997230684021048,0.7222,USD,8.194756554307112,2.94906166219839,Commercial services,Miscellaneous commercial services,Neutral,7.609957027985037,7.827610432188175
TFSL,TFS Financial Corporation,17.39,USD,-1.0244735344336922,971416,1.257507021094676,4876899321.050085,USD,48.238557558945914,0.3605,USD,23.29001367989056,6.4314171883893,Finance,Savings banks,Neutral,45.76315789473684,48.30555555555556
CIGI,Colliers International Group Inc. - Subordinate Voting Shares,95.3,USD,-3.756816804685921,338019,1.4820272642612993,4870194386.854014,USD,46.356180460865076,2.0558208,USD,-8.117026384555981,0.305419708029197,Finance,Investment managers,Buy,11.909175851290508,12.587467810853138
PTEN,"Patterson-UTI Energy, Inc.",12.66,USD,1.9323671497584558,7817566,0.8822844123933283,4828332707.603865,USD,,-0.2355,USD,91.45469719510866,2.89855072463768,Energy minerals,Oil & gas production,Buy,69.460447048754,
VSH,"Vishay Intertechnology, Inc.",31.47,USD,-1.0377358490566095,2799836,0.6122381593748403,4826850292.970754,USD,164.42006269592477,0.1914,USD,,1.25786163522013,Electronic technology,Electronic production equipment,Buy,22.738439306358384,37.27409906121859
SMR,NuScale Power Corporation,11.18,USD,15.257731958762893,53956246,1.562654787547876,4804306135.548453,USD,,-2.2784,USD,-91.30142737195632,0,Producer manufacturing,Electrical products,Buy,,
GNTX,Gentex Corporation,22.8,USD,-1.4693171996542778,2933743,1.1037036187080984,4803579896.214348,USD,12.099984078968317,1.8843,USD,6.795511221945144,2.0743301642178,Producer manufacturing,Auto parts: OEM,Buy,10.825044024219611,10.870700173216026
DAVE,Dave Inc.,376.38,USD,-1.1321547715989393,336015,0.9613310407374454,4800917518.194278,USD,24.413785051275564,15.4167,USD,307.1813427711162,0,Finance,Major banks,Strong buy,20.808374212388273,27.767195255068962
UNF,Unifirst Corporation,275.66,USD,0.1780717374713846,259013,0.885283599526004,4789295142.431442,USD,43.50145183688928,6.3368,USD,-22.17528001572018,0.525129919686012,Consumer services,Other consumer services,Neutral,34.67167996904881,37.03886339624852
GHC,Graham Holdings Company,1127.68,USD,-0.7227812552271818,27129,0.6647912311956146,4775643615.061601,USD,9.08664577004585,124.103,USD,-20.345950803100088,0.654993001082851,Consumer services,Other consumer services,No rating,,16.343188405797104
BDC,Belden Inc,122.05,USD,-0.18809290153745828,413152,1.0665232079644362,4769493023.424518,USD,19.830695739771876,6.1546,USD,11.617700398984404,0.163559044815178,Producer manufacturing,Electrical products,Strong buy,13.224522045402855,14.150421121402033
RDN,Radian Group Inc.,36.05,USD,-1.6639388979814498,615050,0.6886308232298505,4769462396.998091,USD,9.262351943680788,3.8921,USD,-2.0066468603655743,2.7823240589198,Finance,Specialty insurance,Buy,7.259265732822372,7.613125662188826
EWTX,"Edgewise Therapeutics, Inc.",43.82,USD,1.7413512885999536,1286441,1.3297912643643943,4759033100.622707,USD,,-1.8492,USD,-18.881388621022168,0,Health technology,Biotechnology,Strong buy,,
ACAD,ACADIA Pharmaceuticals Inc.,27.58,USD,-1.570306923625986,1457760,1.062959976322278,4752186083.718772,USD,12.421185372005043,2.2204,USD,66.84700931770365,0,Health technology,Pharmaceuticals: major,Buy,31.374208534967792,44.98267074413863
MRP,"Millrose Properties, Inc.",30.78,USD,-3.8725796377264268,1460904,1.541048378385677,4747141097.758275,USD,10.734837652146618,2.8673,USD,890.4317789291885,9.40037476577139,Finance,Real estate development,Strong buy,9.529414714989075,9.90772425882787
CENX,Century Aluminum Company,47.95,USD,2.5120256547301,1388845,0.9595791088543246,4746728590.970605,USD,8.296852559998616,5.7793,USD,419.861473419088,0,Non-energy minerals,Aluminum,Strong buy,4.192655080365634,4.7600928113862615
FFIN,"First Financial Bankshares, Inc.",33.11,USD,-0.9868421052631529,589768,1.0480410183360265,4745573310.141447,USD,17.672804910595143,1.8735,USD,9.318473567510791,2.36244019138756,Finance,Major banks,Neutral,15.721747388414055,16.17752179519189
MTN,"Vail Resorts, Inc.",132.99,USD,-1.4596917605216353,797541,1.5243098193952958,4738902838.58269,USD,30.213326669241432,4.4017,USD,-43.66977642978718,6.57972732661529,Consumer services,Hotels/Resorts/Cruise lines,Neutral,21.00282611905708,30.78595508570135
CLMT,"Calumet, Inc",53.91,USD,1.468097120271022,1604284,1.4306311319425495,4738593755.955956,USD,,-1.5616,USD,70.12606890746656,0,Energy minerals,Oil refining/Marketing,Buy,16.216777190024466,
CAR,"Avis Budget Group, Inc.",133.84,USD,-3.524832408275057,344679,1.0007089875935882,4727998536.772148,USD,,-18.1455,USD,71.29780338153019,0,Finance,Finance/Rental/Leasing,Sell,30.268901101386344,38.44319977021399
ATAT,Atour Lifestyle Holdings Limited,33.28,USD,-3.143189755529681,939073,0.9597818286030363,4723135832,USD,16.401360208959638,2.0291,USD,47.82893778231095,2.44470314318976,Consumer services,Hotels/Resorts/Cruise lines,Strong buy,14.435409298582599,14.355010742489904
